auc	auc_diff	names	method	seed
0.7	0	Otu00842	rf	100
0.7	0	Otu00480	rf	100
0.7	0	Otu01583	rf	100
0.7	0	Otu00746	rf	100
0.7	0	Otu00884	rf	100
0.7	0	Otu00099	rf	100
0.7	0	Otu00007	rf	100
0.7	0	Otu00191	rf	100
0.7	0	Otu00364	rf	100
0.7	0	Otu00844	rf	100
0.7	0	Otu00734	rf	100
0.7	0	Otu00387	rf	100
0.7	0	Otu00710	rf	100
0.7	0	Otu00151	rf	100
0.7	0	Otu00303	rf	100
0.7	0	Otu00659	rf	100
0.7	0	Otu00416	rf	100
0.7	0	Otu00069	rf	100
0.7	0	Otu00864	rf	100
0.7	0	Otu01021	rf	100
0.7	0	Otu00347	rf	100
0.7	0	Otu00447	rf	100
0.7	0	Otu00458	rf	100
0.7	0	Otu00175	rf	100
0.7	0	Otu00518	rf	100
0.7	0	Otu01637	rf	100
0.7	0	Otu00695	rf	100
0.7	0	Otu01264	rf	100
0.7	0	Otu00378	rf	100
0.7	0	Otu01376_1	rf	100
0.7	0	Otu00165	rf	100
0.7	0	Otu00088	rf	100
0.7	0	Otu01288	rf	100
0.7	0	Otu00249	rf	100
0.7	0	Otu00292	rf	100
0.7	0	Otu00963	rf	100
0.7	0	Otu00629	rf	100
0.7	0	Otu00803	rf	100
0.7	0	Otu00361	rf	100
0.7	0	Otu00840	rf	100
0.7	0	Otu00179	rf	100
0.7	0	Otu00891	rf	100
0.7	0	Otu00693	rf	100
0.7	0	Otu00550	rf	100
0.7	0	Otu01136_1	rf	100
0.7	0	Otu00490	rf	100
0.7	0	Otu01209	rf	100
0.7	0	Otu00537	rf	100
0.7	0	Otu00623	rf	100
0.7	0	Otu00509	rf	100
0.7	0	Otu00639	rf	100
0.7	0	Otu00298	rf	100
0.7	0	Otu00047	rf	100
0.7	0	Otu00666	rf	100
0.7	0	Otu00012	rf	100
0.7	0	Otu00123	rf	100
0.7	0	Otu00016	rf	100
0.7	0	Otu00578	rf	100
0.7	0	Otu00367_1	rf	100
0.7	0	Otu00135	rf	100
0.7	0	Otu01009	rf	100
0.7	0	Otu00163	rf	100
0.7	0	Otu00335	rf	100
0.7	0	Otu01001	rf	100
0.7	0	Otu00193	rf	100
0.7	0	Otu00363	rf	100
0.7	0	Otu00624	rf	100
0.7	0	Otu00808	rf	100
0.7	0	Otu00561	rf	100
0.7	0	Otu00139	rf	100
0.7	0	Otu00289	rf	100
0.7	0	Otu01146_1	rf	100
0.7	0	Otu01039	rf	100
0.7	0	Otu00352	rf	100
0.7	0	Otu00396	rf	100
0.7	0	Otu00945	rf	100
0.7	0	Otu00264	rf	100
0.7	0	Otu00048	rf	100
0.7	0	Otu00299	rf	100
0.7	0	Otu00120	rf	100
0.7	0	Otu00037	rf	100
0.7	0	Otu00246	rf	100
0.7	0	Otu00426	rf	100
0.7	0	Otu00092	rf	100
0.7	0	Otu01143	rf	100
0.7	0	Otu00204	rf	100
0.7	0	Otu00152	rf	100
0.7	0	Otu00306	rf	100
0.7	0	Otu00438	rf	100
0.7	0	Otu00358	rf	100
0.7	0	Otu02475_1	rf	100
0.7	0	Otu00691	rf	100
0.7	0	Otu01392_1	rf	100
0.7	0	Otu00178	rf	100
0.7	0	Otu01083_1	rf	100
0.7	0	Otu00440	rf	100
0.7	0	Otu00625	rf	100
0.7	0	Otu00634	rf	100
0.7	0	Otu00817	rf	100
0.7	0	Otu00402	rf	100
0.7	0	Otu00492	rf	100
0.7	0	Otu01958	rf	100
0.7	0	Otu00101	rf	100
0.7	0	Otu00214	rf	100
0.7	0	Otu00337	rf	100
0.7	0	Otu00072	rf	100
