s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load,method,seed
67.2286,00:01:07,14086.64,28425.24,11811.45,11874,56.83,0.02,2135.35,regLogistic,135
67.6314,00:01:07,13981.35,28318.66,11892.62,11950.83,56.83,0.02,2127.92,regLogistic,136
66.4562,00:01:06,14052.07,28390.61,11834.6,11892.5,0,0.02,2212.16,regLogistic,137
67.9887,00:01:07,14085.37,28424,11891.99,11950,0.12,0.01,2215.22,regLogistic,138
65.0598,00:01:05,14053.86,28392.52,11898.64,11953.34,0.12,0.01,2387.87,regLogistic,139
66.2127,00:01:06,14083.95,28422.49,11886.9,11939.66,0,0.01,2238.35,regLogistic,140
64.7855,00:01:04,13991.2,28329.23,11907.98,11960.78,0,0.01,2203.69,regLogistic,141
65.2095,00:01:05,14049.51,28388.04,11891.94,11948.69,0,0.02,2281.02,regLogistic,142
68.2154,00:01:08,14052.65,28391.18,11861.68,11921.19,0,0.01,2193.1,regLogistic,143
67.6053,00:01:07,14085.48,28424.23,11844.61,11904.48,0.12,0.02,2176.06,regLogistic,144
65.8041,00:01:05,14042.73,28381.25,11887.81,11944.97,0,0.02,2253.69,regLogistic,145
65.5844,00:01:05,14024.12,28362.74,11895.89,11953.72,0,0.02,2217.57,regLogistic,146
64.8513,00:01:04,14053.8,28392.32,11903.05,11959.1,0,0.02,2278.02,regLogistic,147
66.8297,00:01:06,14050.92,28389.31,11853.19,11908.8,0,0.02,2217.62,regLogistic,148
64.3667,00:01:04,14084.33,28423,11839.79,11902.19,0,0.02,2285.29,regLogistic,149
66.9551,00:01:06,13963.45,28301.44,11850.78,11904.74,0.12,0.02,2169.85,regLogistic,150
64.1526,00:01:04,14049.95,28388.62,11848.14,11909.84,0,0.02,2249.27,regLogistic,151
68.8952,00:01:08,14085.29,28423.95,11899.75,11953.67,56.83,0.02,2059.66,regLogistic,152
67.7472,00:01:07,14047.84,28386.11,11924.64,11977.72,0,0.02,2136.04,regLogistic,153
66.2874,00:01:06,14065.83,28404.09,11917.32,11974.41,0,0.01,2201.21,regLogistic,154
64.164,00:01:04,14055.08,28393.61,11921.25,11977.34,0,0.02,2368.44,regLogistic,155
64.3998,00:01:04,14025.46,28363.94,11909.98,11967.75,0,0.02,2324.06,regLogistic,156
65.8996,00:01:05,14077.14,28415.66,11936.67,11989.92,0,0.01,2226.56,regLogistic,157
66.0422,00:01:06,14087.04,28425.71,11758.95,11821.87,0,0.02,2170.88,regLogistic,158
64.4706,00:01:04,14050.05,28388.57,11823.16,11882.51,0,0.02,2286.47,regLogistic,159
68.2541,00:01:08,14084.48,28423,11866.8,11926.18,0,0.02,2124.75,regLogistic,160
65.3604,00:01:05,14048.07,28386.47,11898.72,11955.49,0,0.01,2201.86,regLogistic,161
66.374,00:01:06,14036.15,28374.54,11946,12000.99,56.83,0.02,2138.14,regLogistic,162
67.2544,00:01:07,14086.14,28424.67,11866.54,11928.64,0,0.02,2229.72,regLogistic,163
67.8641,00:01:07,14053.52,28392.04,11907.99,11964.68,0,0.01,2153.8,regLogistic,164
64.2657,00:01:04,14001.69,28339.69,11853.22,11915.21,0,0.02,2326.01,regLogistic,165
66.3838,00:01:06,14003.57,28341.62,11866.54,11925.1,56.83,0.01,2129.68,regLogistic,166
64.8135,00:01:04,14029.73,28372.57,11927.14,11986.14,0,0.02,2265.74,regLogistic,167
66.5992,00:01:06,14052.89,28391.41,11819.92,11881.54,0,0.02,2197.09,regLogistic,168
64.6086,00:01:04,14084.14,28422.71,11964.06,12022.42,0.12,0.02,2270.61,regLogistic,169
66.1723,00:01:06,14085.91,28424.44,11889.08,11949.83,0,0.02,2141.77,regLogistic,170
68.2033,00:01:08,14053.36,28391.88,11922.71,11981.72,56.83,0.02,2088.29,regLogistic,171
65.6765,00:01:05,14086.99,28425.57,11821.91,11884.43,56.83,0.02,2218.96,regLogistic,172
66.9761,00:01:06,14084.86,28423.38,11913.99,11973.24,0,0.02,2203.65,regLogistic,173
66.887200000000007,00:01:06,14087.25,28425.91,11828.77,11889.85,0,0.02,2215.77,regLogistic,174
66.7616,00:01:06,14085.89,28424.46,11813.73,11876.5,0.12,0.02,2162.23,regLogistic,175
67.368,00:01:07,14010.07,28348.35,11842.52,11903.9,0,0.02,2165.43,regLogistic,176
66.1198,00:01:06,14086.15,28424.67,11913.04,11971.19,0,0.02,2211,regLogistic,177
65.7077,00:01:05,14082.93,28421.33,11798.27,11860.14,0,0.02,2244.57,regLogistic,178
63.4841,00:01:03,13981.16,28318.95,11864.86,11926.2,56.83,0.02,2302.18,regLogistic,179
65.3111,00:01:05,14040.18,28378.45,11918.88,11980.5,0,0.02,2232.18,regLogistic,180
68.2361,00:01:08,14085.56,28424.09,11913.62,11972.95,0,0.02,2141.74,regLogistic,181
63.9087,00:01:03,13942.82,28280.15,11870.28,11930.4,0,0.02,2269.64,regLogistic,182
63.3174,00:01:03,14052.77,28391.35,11888.43,11941.29,0.12,0.01,2346.6,regLogistic,183
65.2303,00:01:05,14086.66,28425.42,11875.97,11936.9,0,0.02,2290.73,regLogistic,184
65.4101,00:01:05,14085.57,28424.09,11903.52,11958.15,0,0.02,2266.43,regLogistic,185
64.4164,00:01:04,14083.65,28422.05,11892.2,11946.51,0,0.02,2323.51,regLogistic,186
66.6062,00:01:06,14085.04,28423.57,11923.83,11982.49,0,0.02,2167.57,regLogistic,187
65.2425,00:01:05,14052.63,28391.17,11910.08,11968.43,0,0.02,2309.93,regLogistic,188
64.2601,00:01:04,14085.8,28424.32,11852.66,11914.77,0,0.02,2308.84,regLogistic,189
65.4659,00:01:05,13928.53,28265.76,11907.66,11966.15,56.83,0.02,2162.41,regLogistic,190
67.98,00:01:07,14009.09,28347.23,11827.09,11888.6,56.83,0.01,2097.12,regLogistic,191
66.5009,00:01:06,14054.18,28392.7,11858.44,11919.01,56.83,0.02,2075.68,regLogistic,192
66.2003,00:01:06,14086.42,28425.04,11901.91,11961.17,56.83,0.02,2143.38,regLogistic,193
66.3947,00:01:06,14089.8,28428.33,11867.53,11929.03,56.83,0.01,2109.35,regLogistic,194
66.3993,00:01:06,14022.55,28361.22,11903.24,11962.83,56.83,0.02,2124.55,regLogistic,195
67.6103,00:01:07,14052.8,28391.41,11855.18,11915.24,56.86,0.02,2078.66,regLogistic,196
64.735,00:01:04,14023.59,28362.02,11875.73,11934.62,0,0.02,2304,regLogistic,197
64.4923,00:01:04,13918.27,28255.54,11907.02,11962.36,0,0.02,2281.48,regLogistic,198
65.0701,00:01:05,14086.95,28425.48,11905.3,11962.66,0,0.01,2314.62,regLogistic,199
300.5343,00:05:00,23810.25,38111.66,19539.15,19656.83,62.07,0.44,2585.14,svmRadial,100
303.1991,00:05:03,23992.23,38287.3,19636.77,19754.95,5.34,0.45,2568.62,svmRadial,101
308.0357,00:05:08,24276.8,38570.96,19871.89,19992.64,62.05,0.47,2656.47,svmRadial,102
302.3121,00:05:02,24053.86,38349.96,19706.82,19825.51,0,0.44,2604.69,svmRadial,103
324.8558,00:05:24,24255.7,38550.43,19825.61,19944.98,0,0.43,2778.72,svmRadial,104
299.2997,00:04:59,23961.21,38266.6,19624.68,19743.52,62.05,14.75,2346.24,svmRadial,105
310.4347,00:05:10,24051.11,38345.06,19706.98,19825.87,0,0.45,2517.62,svmRadial,106
310.6238,00:05:10,23781.78,38083.73,19458,19579.54,0,0.44,2599.02,svmRadial,107
315.531,00:05:15,24262.59,38556.9,19904.5,20023.61,0,0.43,2327.24,svmRadial,108
297.2005,00:04:57,23816.3,38117.18,19530.89,19648.81,5.34,35.95,2448.78,svmRadial,109
306.4776,00:05:06,23936.64,38231.12,19569.49,19688.19,0,0.46,2413.11,svmRadial,110
304.6316,00:05:04,23925.89,38220.73,19581.44,19699.9,0,0.45,2567.96,svmRadial,111
301.1292,00:05:01,24147.2,38441.75,19785.73,19905.82,0,0.46,2563.99,svmRadial,112
303.68,00:05:03,24048.4,38343.63,19717.16,19836.05,0,0.46,2312.06,svmRadial,113
303.7758,00:05:03,24064.64,38360.31,19717.38,19835.81,62.05,0.45,2424.92,svmRadial,114
310.1222,00:05:10,23834.94,38135.04,19551.1,19670.98,62.05,0.43,2623.97,svmRadial,115
306.0257,00:05:06,24074.52,38370.76,19701.16,19820.96,0,0.45,2353.21,svmRadial,116
305.7434,00:05:05,24082.03,38378.26,19777.4,19895.53,0,0.47,2306.9,svmRadial,117
303.942,00:05:03,23778.56,38073.83,19408.99,19528.1,0,0.45,2645.78,svmRadial,118
292.1496,00:04:52,23778.04,38078.33,19506.55,19624.12,5.34,0.43,2435.18,svmRadial,119
299.8923,00:04:59,24119.81,38415.2,19779.65,19897.73,5.34,7.81,2344.33,svmRadial,120
296.1831,00:04:56,23898.71,38194.68,19561.08,19678.41,0,35.95,2407.38,svmRadial,121
303.681,00:05:03,24165.4,38463.91,19775.5,19894.35,0,0.43,2483.27,svmRadial,122
307.3581,00:05:07,24094.11,38389.34,19755.62,19874,0,0.43,2592.2,svmRadial,123
299.4044,00:04:59,24030.67,38326.84,19673.92,19793.87,0,16.37,2355.7,svmRadial,124
304.4552,00:05:04,24066.36,38363.05,19721.04,19840.38,5.34,0.47,2364.34,svmRadial,125
300.824,00:05:00,24000.21,38295.8,19660.41,19779.59,5.34,0.47,2485.27,svmRadial,126
301.9366,00:05:01,24198.8,38494.16,19830.36,19948.54,5.34,0.47,2348.03,svmRadial,127
294.0742,00:04:54,24124.85,38421.16,19808.1,19926.46,5.34,0.45,2390.03,svmRadial,128
306.4512,00:05:06,23754.94,38050.52,19422.56,19539.71,0,0.44,2559.71,svmRadial,129
304.8069,00:05:04,23833.26,38138.16,19511.73,19629.66,0,0.45,2574.01,svmRadial,130
302.8635,00:05:02,24183.68,38477.95,19833.88,19953.29,0,0.45,2569.16,svmRadial,131
298.5088,00:04:58,24108.18,38404.77,19743.14,19863.56,0,17.77,2505.04,svmRadial,132
296.3751,00:04:56,24086.1,38382.32,19746.88,19866.39,0,35.63,2377.98,svmRadial,133
298.4525,00:04:58,24147.29,38442.69,19793.43,19913.33,0.32,18.43,2524.39,svmRadial,134
310.6689,00:05:10,24250.23,38545.52,19878.39,19998.28,62.05,0.44,2505.87,svmRadial,135
305.3898,00:05:05,23910.67,38207.09,19561,19680.42,62.05,0.43,2599.72,svmRadial,136
323.5753,00:05:23,24284.43,38580.14,19762.58,19907.1,62.05,0.46,2804.52,svmRadial,137
300.4028,00:05:00,23877.26,38180.14,19578.64,19696.58,62.05,0.45,2544.27,svmRadial,138
301.4971,00:05:01,24241.94,38536.02,19833.38,19952.85,62.05,0.45,2322.6,svmRadial,139
297.7985,00:04:57,23980.36,38280.12,19703.43,19820.49,62.05,18.5,2389.61,svmRadial,140
300.195,00:05:00,23921.76,38222.39,19612.19,19730.47,5.34,0.61,2589.61,svmRadial,141
312.7415,00:05:12,24135.56,38431.11,19757.41,19878.52,5.34,0.43,2615.87,svmRadial,142
295.6992,00:04:55,23914.07,38215.66,19586.85,19706.21,5.34,0.43,2607.85,svmRadial,143
307.2209,00:05:07,24076.18,38371.48,19744.34,19863.19,5.34,0.43,2593.23,svmRadial,144
300.5524,00:05:00,24129.98,38424.12,19754.65,19874.2,5.34,0.44,2473.55,svmRadial,145
304.1919,00:05:04,24155.79,38450.61,19777.8,19896.8,5.34,0.45,2550.24,svmRadial,146
296.0246,00:04:56,23903.42,38204.84,19592.27,19710.38,0,0.43,2375.27,svmRadial,147
311.9144,00:05:11,24268.48,38563.67,19872.34,19992.62,0,0.44,2688.83,svmRadial,148
302.9327,00:05:02,24158.73,38454.06,19830.71,19948.52,0,0.43,2373.73,svmRadial,149
306.402,00:05:06,23985.75,38282.16,19636.8,19756.47,0,0.44,2595.52,svmRadial,150
304.841,00:05:04,23922.56,38224.93,19660.41,19777.58,0,0.45,2348.6,svmRadial,151
306.0059,00:05:06,23915.46,38210.34,19581.3,19699.85,5.34,0.47,2586.47,svmRadial,152
309.1074,00:05:09,24056.28,38356.86,19781.01,19899.08,5.34,0.43,2545.04,svmRadial,153
308.7659,00:05:08,24376.09,38673.04,17362.93,17615.6,0,0.45,2497.95,svmRadial,154
307.6771,00:05:07,24021.22,38329.04,19699.11,19817.25,0,0.46,2491.73,svmRadial,155
305.7406,00:05:05,23880.54,38182.35,19535.7,19654.44,0,0.44,2485.26,svmRadial,156
300.9376,00:05:00,24057.56,38352.23,19719.82,19837.64,62.24,0.43,2682.2,svmRadial,157
302.0634,00:05:02,23854.5,38156.21,19537.44,19656.42,0,0.46,2616.46,svmRadial,158
303.4293,00:05:03,23962,38256.92,19637.52,19755.16,5.34,0.43,2336.29,svmRadial,159
303.5235,00:05:03,24151.85,38448.05,19779.14,19899.2,0,0.47,2528.74,svmRadial,160
303.8224,00:05:03,23953.16,38248.43,19605.36,19723.26,5.34,0.45,2552.41,svmRadial,161
312.4101,00:05:12,24282.01,38576.03,19927.43,20046.96,5.34,0.45,2470.87,svmRadial,162
306.7752,00:05:06,23976.73,38274.11,19608.95,19727.86,5.34,0.46,2641.26,svmRadial,163
307.0818,00:05:07,23840.01,38135.4,19474.48,19595.58,0,0.46,2557.89,svmRadial,164
298.7455,00:04:58,24095.61,38389.89,19762.44,19881.87,0,17.84,2358.15,svmRadial,165
296.0014,00:04:56,24002.43,38299.49,19666.25,19784.57,0,37.18,2382.88,svmRadial,166
300.7935,00:05:00,24130.36,38426.58,19770.48,19889.48,0,3.54,2468.13,svmRadial,167
304.3741,00:05:04,23976.79,38271.36,19617.17,19736.58,0,0.44,2498.8,svmRadial,168
301.1781,00:05:01,24137.54,38432.58,19762.38,19881.26,0,0.44,2621.64,svmRadial,169
299.2335,00:04:59,24126.15,38421.25,19756.97,19877.31,62.05,17.76,2433.29,svmRadial,170
302.4636,00:05:02,24076.1,38371.08,19724.89,19844.2,5.34,0.45,2435.07,svmRadial,171
295.5956,00:04:55,24008.36,38303.27,19653.55,19772.59,62.05,37.16,2376.49,svmRadial,172
307.1027,00:05:07,24289.31,38583.47,19954.63,20073.6,0.39,0.44,2594.35,svmRadial,173
306.9731,00:05:06,24157.45,38452.53,19765.83,19886.19,0,0.44,2604.87,svmRadial,174
301.2904,00:05:01,23987.73,38283.25,19682.9,19800.17,62.05,0.46,2626.39,svmRadial,175
302.505,00:05:02,24075.75,38370.89,19675.56,19796.96,62.05,0.48,2345.62,svmRadial,176
302.8524,00:05:02,24220.61,38515.59,19850.63,19970.8,0,0.45,2561.82,svmRadial,177
301.5048,00:05:01,24027.15,38321.88,19681.47,19799.67,5.34,0.45,2437.87,svmRadial,178
299.1868,00:04:59,24194.68,38490.41,19857.88,19976.9,5.34,17.74,2344.05,svmRadial,179
