s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load,method,seed
376.5952,00:06:16,15046.32,24652.73,13729.99,13765.4,3.05,0.02,2777.96,rf,100
402.6262,00:06:42,15146.41,24752.17,13829.54,13864.99,0.18,0.02,3115.96,rf,101
376.2881,00:06:16,15179.21,24785.05,13860.54,13895.9,0,0.02,2783.38,rf,102
376.053,00:06:16,15151.77,24757.27,13832.14,13867.67,56.89,0.02,2778.35,rf,103
399.8093,00:06:39,15152.34,24757.42,13833.29,13868.76,0,0.02,3116.07,rf,104
378.8792,00:06:18,15157.05,24762.07,13840.16,13875.68,56.89,0.02,2759.29,rf,105
382.383,00:06:22,15143.99,24749.25,13826.85,13862.36,0.18,0.02,2747.39,rf,106
374.4935,00:06:14,15076.76,24682.37,13757.12,13792.57,0.18,0.02,2798.38,rf,107
378.3066,00:06:18,15120.37,24727.05,13806.35,13841.71,0,0.02,2774.49,rf,108
402.3456,00:06:42,15138.38,24743.56,13819.87,13855.37,0,0.02,3093.14,rf,109
373.0543,00:06:13,15045.76,24651.55,13729.1,13764.66,0,0.02,2807.08,rf,110
375.2905,00:06:15,15087.82,24692.64,13767.74,13803.18,0.18,0.02,2792.06,rf,111
378.4059,00:06:18,15099.2,24705.04,13779.97,13815.46,0,0.02,2771.68,rf,112
379.0105,00:06:19,15200.49,24806.47,13882.96,13918.39,0,0.02,2761.95,rf,113
371.1711,00:06:11,15059.04,24664.55,13741.61,13777.01,0,0.02,2827.92,rf,114
381.623,00:06:21,15138.02,24742.85,13819.32,13854.97,0,0.02,2740.73,rf,115
377.5995,00:06:17,15180.76,24786.07,13863.12,13898.65,0,0.02,2782.29,rf,116
367.5262,00:06:07,15115.7,24721.04,13798.29,13833.87,0,0.01,3135.53,rf,117
368.6134,00:06:08,15079.88,24686.43,13764.21,13799.53,56.89,0.02,2838.14,rf,118
372.5542,00:06:12,15150.33,24755.46,13831.09,13866.52,56.89,0.02,2805.79,rf,119
368.0118,00:06:08,15129.12,24733.82,13811.29,13846.59,0,0.03,2851.73,rf,120
377.4775,00:06:17,15155.97,24761.09,13835.61,13871.08,0,0.02,2780.19,rf,121
375.4079,00:06:15,15110.23,24715.07,13793.83,13829.13,0,0.02,2790.6,rf,122
370.3162,00:06:10,15094.23,24700.19,13774.11,13809.64,0.18,0.02,2829.12,rf,123
370.763,00:06:10,15091.21,24696.23,13772.32,13807.8,0,0.02,2826.28,rf,124
381.6081,00:06:21,15107.5,24712.6,13790.37,13825.74,0,0.02,2744.11,rf,125
370.8017,00:06:10,15158.71,24765,13841,13876.66,56.89,0.01,2817.65,rf,126
380.2572,00:06:20,15087.89,24693.04,13766.73,13802.3,56.89,0.02,2752,rf,127
369.1736,00:06:09,15159.82,24765.35,13841.43,13876.97,0,0.01,2841.9,rf,128
374.2129,00:06:14,15102.38,24707.75,13785.01,13820.36,0.18,0.03,2806.78,rf,129
372.5062,00:06:12,15185.13,24790.32,13869.23,13904.68,0,0.01,2816.78,rf,130
369.2508,00:06:09,15129.38,24736.51,13810.44,13845.99,0,0.02,3041.78,rf,131
369.7215,00:06:09,15100.54,24706.68,13782.66,13818.04,0,0.02,3124.86,rf,132
382.8991,00:06:22,15103.98,24709.46,13786.01,13821.57,0,0.02,2739.86,rf,133
377.1414,00:06:17,15078.77,24684.69,13759.48,13795.01,0.18,0.02,2789.33,rf,134
378.725,00:06:18,15105.04,24710.14,13786.93,13822.35,0,0.03,2774.74,rf,135
378.9984,00:06:18,15112.63,24718.28,13795.76,13831.19,0,0.01,2777.87,rf,136
371.937,00:06:11,15097.78,24702.55,13779.38,13814.79,0,0.02,2822.64,rf,137
369.6619,00:06:09,15146.45,24752.12,13827.23,13862.74,0,0.01,2826.86,rf,138
381.6461,00:06:21,15128.8,24733.89,13809.88,13845.5,0,0.02,2751.34,rf,139
376.4419,00:06:16,15134.81,24740.97,13816.03,13851.54,0.18,0.02,2781.66,rf,140
368.6676,00:06:08,15160.85,24765.36,13843.77,13879.36,0,0.02,3129.99,rf,141
377.8226,00:06:17,15076.52,24682.12,13760.13,13795.48,0,0.02,2779.68,rf,142
376.3596,00:06:16,15165.13,24770.74,13845.3,13880.97,0.18,0.02,2786.73,rf,143
372.9639,00:06:12,15040.3,24644.7,13723.15,13758.71,0,0.02,2812.13,rf,144
375.8411,00:06:15,15133.95,24740.75,13814.7,13850.26,0,0.02,2793.38,rf,145
375.2965,00:06:15,15134.64,24740.33,13815.91,13851.41,0,0.03,2792.6,rf,146
373.5866,00:06:13,15027.62,24633.19,13709.73,13745.18,0,0.02,2804.51,rf,147
380.2691,00:06:20,15182.44,24788.02,13863.64,13899.08,0,0.02,2747.62,rf,148
369.1842,00:06:09,15169.73,24775.18,13852.4,13887.79,0.18,0.02,2838.56,rf,149
372.3479,00:06:12,15162.05,24767.69,13845.41,13880.88,0,0.02,2971.01,rf,150
377.4501,00:06:17,15079.47,24684.26,13759.7,13795.26,0,0.01,2782.45,rf,151
377.2429,00:06:17,15110.44,24715.63,13792.59,13828.05,0,0.01,2784.69,rf,152
403.1159,00:06:43,15130.58,24736.07,13814.44,13849.91,56.89,0.02,3099.16,rf,153
365.3125,00:06:05,15137.66,24742.24,13819.9,13855.37,56.89,0.01,2858.23,rf,154
374.0642,00:06:14,15140.01,24745.54,13823.21,13858.8,0,0.02,2815.63,rf,155
367.0754,00:06:07,15177.86,24783.12,13860.71,13896.13,0.18,0.01,2848.69,rf,156
380.2532,00:06:20,15051.65,24657.87,13733.38,13768.87,0,0.02,2757.12,rf,157
380.1748,00:06:20,15148.86,24754.71,13829.95,13865.5,0.18,0.02,2751.32,rf,158
367.5721,00:06:07,15096.95,24702.98,13782.14,13817.47,0,0.02,2850.62,rf,159
380.1707,00:06:20,15140.55,24745.56,13819.96,13855.51,0,0.02,2761.55,rf,160
377.0691,00:06:17,15094.29,24699.67,13774.84,13810.4,0,0.02,2778.15,rf,161
365.5944,00:06:05,15099.21,24704.63,13777.82,13813.4,0,0.02,2863.34,rf,162
379.8181,00:06:19,15133.68,24740.14,13816.21,13851.72,0,0.01,2759.23,rf,163
380.2212,00:06:20,15101.18,24706.03,13780.01,13815.66,0,0.02,2753.06,rf,164
374.6856,00:06:14,15160.95,24766.3,13841.97,13877.4,0,0.02,2803.26,rf,165
375.0263,00:06:15,15143.68,24749.85,13826.17,13861.77,0,0.02,2801.88,rf,166
383.2461,00:06:23,15053.91,24659.45,13732.15,13767.72,0.18,0.02,2738.23,rf,167
366.4075,00:06:06,15089.01,24694.79,13773,13808.61,0,0.02,3133.85,rf,168
373.5755,00:06:13,15143.78,24749.61,13827.15,13862.58,0,0.02,2804.13,rf,169
378.8372,00:06:18,15127.62,24733.93,13807.23,13842.78,0.18,0.02,2764.23,rf,170
375.1824,00:06:15,15060.97,24667.23,13743.77,13779.35,0.18,0.02,2795.64,rf,171
379.644,00:06:19,15116.69,24722.73,13798.53,13834.18,56.89,0.01,2746.52,rf,172
377.2595,00:06:17,15139.62,24744.43,13817.95,13853.44,0.18,0.02,2783.14,rf,173
377.3545,00:06:17,15049.29,24655.17,13733.39,13768.84,56.89,0.02,2762.14,rf,174
374.8461,00:06:14,15127.15,24732.89,13807.46,13843.08,0.18,0.02,2792.73,rf,175
377.2775,00:06:17,15159.05,24764.5,13841.75,13877.21,56.89,0.01,2767.25,rf,176
380.8607,00:06:20,15122.82,24727.66,13801.91,13837.42,56.89,0.02,2769.23,rf,177
372.9096,00:06:12,15040.77,24646,13723.02,13758.64,56.89,0.01,2813.74,rf,178
382.4732,00:06:22,15147.4,24752.67,13831.05,13866.6,0,0.02,2800.4,rf,179
372.5581,00:06:12,15139.38,24743.73,13819.92,13855.43,0,0.01,2814.02,rf,180
375.6261,00:06:15,15070.86,24676.15,13752.99,13788.47,0.18,0.02,2782.75,rf,181
378.6332,00:06:18,15196.84,24802.41,13878.11,13913.68,0,0.02,2770.51,rf,182
381.4839,00:06:21,15058.02,24663.33,13740.17,13775.67,0,0.02,2749.03,rf,183
376.0536,00:06:16,15094.36,24699.4,13777.5,13812.85,0,0.02,2788.2,rf,184
378.3334,00:06:18,15090.73,24696.98,13774.15,13809.58,0.18,0.02,2768.91,rf,185
378.7461,00:06:18,15091.46,24700.1,13777.93,13813.45,0.18,0.01,2766.08,rf,186
374.6966,00:06:14,15084.85,24689.89,13764.86,13800.35,0,0.02,2804.24,rf,187
379.6082,00:06:19,15156.33,24760.84,13836.54,13872.15,0.18,0.01,2760.94,rf,188
377.4542,00:06:17,15144.79,24750.1,13827.33,13862.72,0.18,0.01,2792.11,rf,189
375.7104,00:06:15,15126.39,24731.95,13807.52,13843.03,0.18,0.02,2793.76,rf,190
377.8388,00:06:17,15085.64,24690.41,13725.65,13761.13,0,0.03,2772.67,rf,191
377.4648,00:06:17,15142.51,24747.32,13825.78,13861.1,0.18,0.03,2782.67,rf,192
376.3805,00:06:16,15140.24,24746.7,13820.81,13856.35,0.18,0.02,2787.2,rf,193
370.5495,00:06:10,15085.09,24691.6,13768.77,13804.29,0.18,0.02,2823.58,rf,194
378.8776,00:06:18,15069.65,24674.41,13757.75,13793.18,0,0.01,2813.15,rf,195
374.8045,00:06:14,15127.73,24733.25,13806.63,13842.19,0,0.02,2796.91,rf,196
384.0592,00:06:24,15084.05,24688.87,13765.16,13800.62,0,0.02,2728.61,rf,197
373.7084,00:06:13,15101.76,24707.73,13785.83,13821.23,0,0.02,2808.74,rf,198
383.2658,00:06:23,15076.93,24682.77,13762.87,13798.27,0,0.02,2769.79,rf,199
67.1882,00:01:07,14052.34,28390.86,11853.88,11910.04,56.83,0.02,2086.92,regLogistic,100
65.4246,00:01:05,14053.11,28391.68,11740.17,11801.9,0,0.02,2237.31,regLogistic,101
66.1712,00:01:06,14006.64,28344.79,11891.05,11951.01,0,0.02,2244.4,regLogistic,102
66.4658,00:01:06,14054.23,28392.85,11919.23,11975.51,0,0.02,2218.15,regLogistic,103
62.8704,00:01:02,14052.83,28391.36,11858.09,11910.76,56.83,0.01,2301.15,regLogistic,104
64.3717,00:01:04,14053.08,28391.6,11932.39,11990.65,0,0.02,2351.46,regLogistic,105
64.6605,00:01:04,14053.55,28392.07,11920.24,11978.93,0,0.02,2208.89,regLogistic,106
69.566,00:01:09,14052.5,28391.21,11945.41,12003.58,0.12,0.02,2102.92,regLogistic,107
67.3212,00:01:07,14083.89,28422.42,11918.86,11971.85,0,0.02,2202.72,regLogistic,108
64.4258,00:01:04,14053.37,28391.89,11908.11,11961.24,0,0.02,2332.88,regLogistic,109
68.5828,00:01:08,14086.08,28424.9,11905.18,11967.33,56.83,0.02,2154.01,regLogistic,110
66.5135,00:01:06,14053.09,28391.61,11915.12,11969.75,0,0.02,2250,regLogistic,111
66.2968,00:01:06,14053.81,28392.41,11868.76,11924.06,0,0.02,2183.19,regLogistic,112
65.5734,00:01:05,14053.12,28391.64,11916.03,11968.89,0,0.02,2164.69,regLogistic,113
65.1897,00:01:05,14086.47,28425.04,11766.89,11830.28,0.12,0.01,2266.98,regLogistic,114
64.7658,00:01:04,14050.91,28389.3,11939.51,12001.29,0,0.01,2264.98,regLogistic,115
63.844,00:01:03,14050.05,28388.57,11916.86,11977.34,0.12,0.01,2341.45,regLogistic,116
66.9447,00:01:06,14011.02,28349.29,11901.76,11962.51,56.83,0.02,2164.12,regLogistic,117
65.1414,00:01:05,13956.79,28294.38,11915.97,11973.32,0.12,0.01,2282.68,regLogistic,118
66.2078,00:01:06,14053.76,28392.26,11709.32,11772.04,0,0.02,2182.15,regLogistic,119
63.7186,00:01:03,14052.36,28390.88,11929.06,11988.71,0,0.02,2301.64,regLogistic,120
67.5394,00:01:07,14050.23,28388.76,11905.98,11961.64,0.12,0.02,2192.97,regLogistic,121
66.4746,00:01:06,14086.82,28425.42,11831.3,11894.61,0,0.02,2179.06,regLogistic,122
65.2408,00:01:05,14054.01,28392.56,11883.26,11942.39,0,0.01,2221.38,regLogistic,123
67.8314,00:01:07,14053.66,28392.18,11850.94,11903.81,0,0.02,2164.48,regLogistic,124
69.6097,00:01:09,14054.53,28393.08,11796.93,11859.43,56.83,0.02,2097.84,regLogistic,125
65.6222,00:01:05,14053.88,28392.41,11904.96,11958.9,0,0.02,2233.91,regLogistic,126
63.9489,00:01:03,14051.25,28389.96,11905.27,11959.28,0.12,0.01,2369.12,regLogistic,127
66.557,00:01:06,14085.86,28424.38,11943.91,12003.04,0.12,0.01,2249.1,regLogistic,128
64.9013,00:01:04,14051.69,28390.1,11869.96,11926.08,56.83,0.02,2240.61,regLogistic,129
66.6316,00:01:06,13937.91,28275.29,11676.18,11738.58,0,0.02,2199.79,regLogistic,130
66.4235,00:01:06,14088.85,28427.38,11900.12,11956.75,0,0.01,2212.47,regLogistic,131
65.8729,00:01:05,14084.32,28422.85,11934.15,11993.44,0,0.02,2183.68,regLogistic,132
66.5813,00:01:06,14049.24,28387.76,11852.94,11915.05,0.12,0.02,2200.87,regLogistic,133
64.9074,00:01:04,13928.84,28266.41,11899.67,11959.76,0,0.02,2245.03,regLogistic,134
